time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-04-04 00:00:00,24,16,61,0,,90,7,,1012,,1
2023-04-04 01:00:00,23,16.1,65,0,,140,7,,1012,,3
2023-04-04 02:00:00,23,15.1,61,0,,110,7,,1012,,1
2023-04-04 03:00:00,22,14.1,61,0,,110,7,,1011,,2
2023-04-04 04:00:00,21,15.1,69,0,,140,6,,1011,,3
2023-04-04 05:00:00,21,16,73,0,,110,9,,1011,,3
2023-04-04 06:00:00,20,16,78,0,,90,9,,1011,,3
2023-04-04 07:00:00,20,16,78,0,,140,9,,1012,,3
2023-04-04 08:00:00,21,17,78,0,,90,7,,1013,,3
2023-04-04 09:00:00,23,18.1,74,0,,90,6,,1014,,3
2023-04-04 10:00:00,25,20,74,0,,70,7,,1013,,3
2023-04-04 11:00:00,30,21.9,62,0,,70,6,,1013,,3
2023-04-04 12:00:00,31,22.1,59,0,,140,6,,1013,,3
2023-04-04 13:00:00,31,22.1,59,0,,110,11,,1013,,3
2023-04-04 14:00:00,30,17.1,46,1.7,,160,24,,1012,,9
2023-04-04 15:00:00,30,18.1,49,0,,160,17,,1012,,3
2023-04-04 16:00:00,29,19.9,58,0,,140,11,,1011,,3
2023-04-04 17:00:00,29,21,62,0,,140,13,,1011,,3
2023-04-04 18:00:00,27,20.1,66,0,,160,15,,1012,,3
2023-04-04 19:00:00,27,16.9,54,0,,140,7,,1013,,3
2023-04-04 20:00:00,26,16,54,0,,250,4,,1013,,3
2023-04-04 21:00:00,25,15.9,57,0,,230,6,,1013,,3
2023-04-04 22:00:00,24,16,61,0,,160,9,,1013,,3
2023-04-04 23:00:00,24,17,65,0,,180,11,,1013,,3
2023-04-05 00:00:00,23,17,69,0,,140,6,,1013,,3
2023-04-05 01:00:00,23,17,69,0,,140,11,,1012,,3
2023-04-05 02:00:00,23,17,69,0,,160,9,,1012,,3
2023-04-05 03:00:00,22,18,78,0,,140,9,,1013,,3
2023-04-05 04:00:00,22,16.9,73,0,,110,9,,1013,,3
2023-04-05 05:00:00,22,18,78,0,,140,11,,1013,,3
2023-04-05 06:00:00,22,18,78,0,,90,11,,1012,,3
2023-04-05 07:00:00,22,18,78,0,,140,7,,1013,,3
2023-04-05 08:00:00,22,18,78,0,,140,11,,1013,,3
2023-04-05 09:00:00,22,18,78,0,,140,13,,1014,,3
2023-04-05 10:00:00,22,18,78,0,,90,9,,1014,,3
2023-04-05 11:00:00,23,19,78,0,,360,6,,1015,,3
2023-04-05 12:00:00,23,19,78,0,,70,6,,1015,,3
2023-04-05 13:00:00,24,19.1,74,0,,115,10.4,,1014,,3
2023-04-05 14:00:00,24,19.1,74,0,,117,10.1,,1014,,3
2023-04-05 15:00:00,24,19.9,78,0,,320,7,,1014,,3
2023-04-05 16:00:00,23,21.1,89,0,,144,6.8,,1014,,3
2023-04-05 17:00:00,23,21.1,89,0,,96,7.2,,1014,,3
2023-04-05 18:00:00,23,22,94,0.3,,160,7,,1014,,8
2023-04-05 19:00:00,23,21.1,89,0.2,,160,6,,1013,,7
2023-04-05 20:00:00,22,21,94,0.3,,140,7,,1013,,5
2023-04-05 21:00:00,22,21,94,0,,110,6,,1013,,3
2023-04-05 22:00:00,22,21,94,0,,90,7,,1014,,3
2023-04-05 23:00:00,21,20,94,0,,50,6,,1014,,3
2023-04-06 00:00:00,22,19.9,88,0,,108,12.6,,1013,,3
2023-04-06 01:00:00,22,19.9,88,0,,110,9.7,,1014,,3
2023-04-06 02:00:00,21,18.9,88,0,,106,9.7,,1014,,3
2023-04-06 03:00:00,22,19.9,88,0,,104,8.3,,1014,,3
2023-04-06 04:00:00,21,20,94,0,,90,6,,1014,,3
2023-04-06 05:00:00,21,20,94,0,,127,9.4,,1014,,3
2023-04-06 06:00:00,21,20,94,0,,160,6,,1015,,3
2023-04-06 07:00:00,22,19.9,88,1.8,,140,7,,1015,,9
2023-04-06 08:00:00,21,20,94,2.3,,123,10.4,,1015,,5
2023-04-06 09:00:00,21,20,94,0.7,,140,11,,1016,,8
2023-04-06 10:00:00,22,19.9,88,0,,90,13,,1016,,3
2023-04-06 11:00:00,23,20,83,0,,90,17,,1016,,3
2023-04-06 12:00:00,23,20,83,0,,50,17,,1015,,3
2023-04-06 13:00:00,23,20,83,0,,50,13,,1015,,3
2023-04-06 14:00:00,24,19.9,78,0,,90,13,,1014,,3
2023-04-06 15:00:00,24,19.9,78,0.3,,90,15,,1014,,8
2023-04-06 16:00:00,24,19.1,74,0.8,,90,13,,1014,,8
2023-04-06 17:00:00,24,19.1,74,0.4,,90,15,,1013,,8
2023-04-06 18:00:00,24,19.1,74,0,,90,11,,1013,,3
2023-04-06 19:00:00,23,19,78,0,,90,11,,1013,,3
2023-04-06 20:00:00,22,19,83,0,,90,11,,1013,,2
2023-04-06 21:00:00,21,18,83,0,,90,9,,1014,,2
2023-04-06 22:00:00,21,18,83,0,,90,7,,1014,,1
2023-04-06 23:00:00,20,18,88,0,,140,7,,1014,,1
2023-04-07 00:00:00,20,19,94,0,,140,9,,1014,,1
2023-04-07 01:00:00,20,19,94,0,,140,9,,1014,,1
2023-04-07 02:00:00,20,19,94,0,,90,7,,1014,,1
2023-04-07 03:00:00,20,18,88,0,,140,9,,1014,,1
2023-04-07 04:00:00,19,18,94,0,,140,7,,1014,,1
2023-04-07 05:00:00,19,18,94,0,,140,9,,1014,,2
2023-04-07 06:00:00,19,18,94,0,,140,13,,1014,,2
2023-04-07 07:00:00,18,18,100,0,,110,11,,1014,,1
2023-04-07 08:00:00,19,18,94,0,,140,9,,1015,,1
2023-04-07 09:00:00,20,18,88,0,,140,13,,1015,,1
2023-04-07 10:00:00,22,18,78,0,,140,9,,1016,,1
2023-04-07 11:00:00,24,19.1,74,0,,160,11,,1016,,1
2023-04-07 12:00:00,24,19.9,78,0.2,,110,11,,1016,,17
2023-04-07 13:00:00,26,18.9,65,0,,160,11,,1015,,2
2023-04-07 14:00:00,26,18.9,65,0,,140,15,,1015,,2
2023-04-07 15:00:00,27,19.1,62,0,,140,13,,1014,,1
2023-04-07 16:00:00,28,18.1,55,0,,140,19,,1014,,1
2023-04-07 17:00:00,28,19,58,0,,160,17,,1014,,1
2023-04-07 18:00:00,27,19.1,62,0,,160,15,,1014,,1
2023-04-07 19:00:00,25,18,65,0,,140,7,,1014,,1
2023-04-07 20:00:00,24,18,69,0,,180,11,,1015,,1
2023-04-07 21:00:00,23,18.1,74,0,,180,13,,1015,,1
2023-04-07 22:00:00,23,18.1,74,0,,140,17,,1016,,1
2023-04-07 23:00:00,22,18,78,0,,140,13,,1016,,1
2023-04-08 00:00:00,21,18,83,0,,140,7,,1016,,1
2023-04-08 01:00:00,21,18,83,0,,140,9,,1016,,1
2023-04-08 02:00:00,20,18,88,0,,140,7,,1016,,1
2023-04-08 03:00:00,20,18,88,0,,90,9,,1015,,1
2023-04-08 04:00:00,20,17,83,0,,90,7,,1015,,1
2023-04-08 05:00:00,19,18,94,0,,140,9,,1015,,1
2023-04-08 06:00:00,19,17,88,0,,140,9,,1015,,1
2023-04-08 07:00:00,18,17,94,0,,110,9,,1016,,1
2023-04-08 08:00:00,19,17,88,0,,110,9,,1016,,1
2023-04-08 09:00:00,21,18,83,0,,90,9,,1017,,1
2023-04-08 10:00:00,22,19,83,0,,140,9,,1017,,1
2023-04-08 11:00:00,24,19.1,74,0,,110,7,,1017,,1
2023-04-08 12:00:00,26,18.9,65,0,,90,7,,1017,,1
2023-04-08 13:00:00,27,19.1,62,0,,320,7,,1016,,2
2023-04-08 14:00:00,27,20.1,66,0,,290,13,,1016,,2
2023-04-08 15:00:00,28,21.1,66,0,,320,13,,1015,,2
2023-04-08 16:00:00,26,20.1,70,0,,340,11,,1015,,3
2023-04-08 17:00:00,27,20.1,66,0,,221,10.1,,1015,,3
2023-04-08 18:00:00,26,20.1,70,0,,216,7.6,,1015,,2
2023-04-08 19:00:00,26,17.9,61,0,,230,7,,1015,,1
2023-04-08 20:00:00,25,18,65,0,,180,7,,1015,,1
2023-04-08 21:00:00,24,17,65,0,,160,7,,1016,,1
2023-04-08 22:00:00,23,17,69,0,,160,6,,1016,,1
2023-04-08 23:00:00,22,16.9,73,0,,160,9,,1016,,1
2023-04-09 00:00:00,22,18,78,0,,140,9,,1016,,1
2023-04-09 01:00:00,21,18,83,0,,140,7,,1016,,1
2023-04-09 02:00:00,21,18,83,0,,90,7,,1016,,1
2023-04-09 03:00:00,20,18,88,0,,140,6,,1016,,1
2023-04-09 04:00:00,20,18,88,0,,140,6,,1015,,1
2023-04-09 05:00:00,20,18,88,0,,140,6,,1015,,1
2023-04-09 06:00:00,19,18,94,0,,140,7,,1015,,1
2023-04-09 07:00:00,19,18,94,0,,91,6.5,,1016,,1
2023-04-09 08:00:00,19,18,94,0,,76,8.6,,1017,,1
2023-04-09 09:00:00,22,19.9,88,0,,70,6,,1017,,1
2023-04-09 10:00:00,24,19.9,78,0,,55,7.2,,1018,,1
2023-04-09 11:00:00,26,18.9,65,0,,320,9,,1018,,1
2023-04-09 12:00:00,27,18,58,0,,320,6,,1017,,1
2023-04-09 13:00:00,28,16,48,0,,340,11,,1017,,1
2023-04-09 14:00:00,29,16.9,48,0,,290,17,,1016,,1
2023-04-09 15:00:00,29,16.9,48,0,,250,7,,1016,,2
2023-04-09 16:00:00,30,16.1,43,0,,320,9,,1015,,2
2023-04-09 17:00:00,27.9,17.4,53,0,,220,6.8,,1013.9,,1
2023-04-09 18:00:00,29,15.9,45,0,,270,6,,1015,,1
2023-04-09 19:00:00,28,16.9,51,0,,230,6,,1015,,1
2023-04-09 20:00:00,26,17.1,58,0,,140,6,,1015,,1
2023-04-09 21:00:00,24,17,65,0,,140,7,,1016,,1
2023-04-09 22:00:00,24,17,65,0,,90,7,,1016,,1
2023-04-09 23:00:00,23,17,69,0,,140,4,,1016,,1
2023-04-10 00:00:00,22,16.9,73,0,,140,4,,1016,,1
2023-04-10 01:00:00,21,17,78,0,,140,7,,1016,,1
2023-04-10 02:00:00,21,18.9,88,0,,90,6,,1016,,1
2023-04-10 03:00:00,20,18,88,0,,90,6,,1016,,1
2023-04-10 04:00:00,20,18,88,0,,140,4,,1016,,1
2023-04-10 05:00:00,20,18,88,0,,90,6,,1016,,1
2023-04-10 06:00:00,19,18,94,0,,140,7,,1016,,1
2023-04-10 07:00:00,19,18,94,0,,140,7,,1017,,1
2023-04-10 08:00:00,19,18,94,0,,90,7,,1018,,1
2023-04-10 09:00:00,22,19,83,0,,90,7,,1019,,1
2023-04-10 10:00:00,25,21.1,79,0,,90,9,,1019,,1
2023-04-10 11:00:00,27,21.1,70,0,,360,6,,1019,,1
2023-04-10 12:00:00,29,21,62,0.2,,360,7,,1019,,17
2023-04-10 13:00:00,30,21.1,59,0,,340,6,,1018,,2
2023-04-10 14:00:00,30,21.1,59,0,,340,7,,1018,,2
2023-04-10 15:00:00,31,20,52,0,,270,11,,1017,,2
